fighter_name,Height,Weight,Reach,Stance,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,TSNE1,TSNE2
Takenori Sato,"5' 10""",170 lbs.,,Southpaw,0.46,0.33,12.92,0.09,0.0,0.0,0.0,0.0,67.911064,-12.371602
Takashi Sato,"5' 10""",170 lbs.,"73""",Southpaw,3.16,0.37,4.81,0.5,0.53,0.5,0.75,0.0,26.673227,-15.066443
Jeimeson Saudino,"5' 6""",135 lbs.,,,0.66,0.3,0.82,0.84,2.47,0.5,0.0,2.5,-47.455036,6.0532722
Ben Saunders,"6' 2""",170 lbs.,"77""",Orthodox,3.23,0.5,3.58,0.51,0.2,0.4,0.66,1.3,9.047755,-2.5141556
Chris Saunders,"5' 8""",155 lbs.,,,1.48,0.22,2.96,0.75,3.7,1.0,0.0,0.0,-33.435043,25.955925
Lumumba Sayers,"6' 0""",185 lbs.,,,2.54,0.41,2.37,0.48,7.63,0.75,0.0,2.5,-34.90111,47.83478
Matt Sayles,"5' 7""",145 lbs.,"68""",Orthodox,5.44,0.42,3.13,0.61,0.0,0.0,0.81,0.4,33.15465,14.307162
Mark Scanlon,"5' 9""",170 lbs.,,Orthodox,2.2,0.35,3.33,0.48,3.0,0.75,0.25,2.0,-27.729713,14.790345
Eric Schafer,"6' 3""",185 lbs.,"76""",Orthodox,1.89,0.34,3.38,0.56,1.81,0.36,0.5,1.8,-39.629642,-2.0440152
Brendan Schaub,"6' 4""",245 lbs.,"78""",Orthodox,2.92,0.37,2.22,0.57,2.32,0.46,0.72,0.4,-26.907572,7.4067817
Kerry Schall,"6' 2""",265 lbs.,,Orthodox,0.94,0.11,4.84,0.63,0.0,0.0,0.0,0.0,41.1009,-34.790096
Eric Schambari,"5' 11""",185 lbs.,,Orthodox,1.43,0.42,1.07,0.54,3.0,0.42,0.0,1.0,-41.38903,6.9769454
Antonio Schembri,"5' 9""",205 lbs.,,Orthodox,0.72,0.26,2.12,0.55,1.31,0.4,0.0,0.4,-26.525536,-14.880424
Fabiano Scherner,"6' 3""",257 lbs.,,Orthodox,1.31,0.31,3.2,0.38,1.09,0.33,0.4,0.0,0.9466511,-20.804981
Joe Schilling,"6' 3""",185 lbs.,,,2.84,0.52,2.64,0.48,0.0,0.0,0.44,0.0,9.475516,-31.0015
Samy Schiavo,"5' 8""",155 lbs.,,Orthodox,1.68,0.34,2.62,0.38,0.94,0.5,0.66,0.9,-11.049827,-19.424288
